   DVS    H+    He+2    He+1   C+6   C+5   C+4   O+7   O+6   O+   Ne+8   Mg+10   Mg+8   Si+12   Si+9   Si+8   Fe+16   Fe+14   Fe+12   Fe+11   Fe+10   Fe+9   Fe+8
    27    0.18317    0.47155    0.21398    1.99382    1.66151    1.32921    2.32612    1.99382    0.20377    2.65842    3.37279    2.69823    4.10243    3.07682    2.73495    5.79952    5.07458    4.34964    3.98717    3.61891    3.21693    2.81399
    28    0.20442    0.53466    0.24601    2.23823    1.86519    1.49215    2.61127    2.23823    0.25888    2.98431    3.78624    3.02899    4.60533    3.45399    3.07022    6.51046    5.69665    4.88285    4.47594    4.06904    3.66088    3.20925
    29    0.22724    0.60057    0.28182    2.51261    2.09384    1.67507    2.93137    2.51261    0.32077    3.35014    4.25038    3.40030    5.16987    3.87740    3.44658    7.30855    6.39498    5.48141    5.02463    4.56784    4.11106    3.65206
    30    0.24735    0.67419    0.32115    2.82062    2.35051    1.88041    3.29072    2.82062    0.38472    3.76082    4.77142    3.81713    5.80363    4.35272    3.86908    8.20447    7.17892    6.15336    5.64058    5.12780    4.61502    4.10224
    31    0.25931    0.75683    0.36617    3.16638    2.63865    2.11092    3.69411    3.16638    0.45606    4.22184    5.35632    4.28506    6.51507    4.88630    4.34338    9.21023    8.05895    6.90767    6.33203    5.75639    5.18075    4.60511
     0    0.00058    0.00227    0.00024    0.02276    0.01476    0.00845    0.02213    0.01525    0.00001    0.02208    0.03240    0.01903    0.04465    0.02322    0.01767    0.06101    0.04652    0.03386    0.02828    0.02316    0.01858    0.01457
     1    0.00093    0.00308    0.00039    0.02957    0.01943    0.01135    0.02912    0.02019    0.00001    0.02906    0.04212    0.02518    0.05750    0.03033    0.02310    0.07629    0.05882    0.04306    0.03594    0.02949    0.02367    0.01850
     2    0.00131    0.00415    0.00059    0.03828    0.02549    0.01505    0.03793    0.02658    0.00002    0.03825    0.05476    0.03301    0.07371    0.03948    0.03018    0.09566    0.07369    0.05437    0.04560    0.03751    0.03012    0.02356
     3    0.00176    0.00542    0.00086    0.04900    0.03298    0.01980    0.04910    0.03482    0.00005    0.04969    0.07015    0.04291    0.09376    0.05081    0.03929    0.12003    0.09235    0.06841    0.05764    0.04751    0.03833    0.02999
     4    0.00232    0.00710    0.00122    0.06250    0.04263    0.02596    0.06301    0.04505    0.00008    0.06433    0.09004    0.05572    0.11888    0.06551    0.05058    0.14908    0.11597    0.08562    0.07229    0.06009    0.04850    0.03815
     5    0.00305    0.00930    0.00168    0.07941    0.05431    0.03358    0.08033    0.05814    0.00018    0.08235    0.11381    0.07139    0.14944    0.08335    0.06520    0.18575    0.14414    0.10758    0.09057    0.07519    0.06137    0.04829
     6    0.00400    0.01209    0.00228    0.10042    0.06933    0.04336    0.10222    0.07407    0.00036    0.10504    0.14424    0.09153    0.18814    0.10616    0.08298    0.22888    0.17948    0.13411    0.11379    0.09426    0.07671    0.06110
     7    0.00521    0.01551    0.00308    0.12488    0.08773    0.05524    0.12939    0.09456    0.00066    0.13345    0.18159    0.11571    0.23544    0.13361    0.10568    0.28289    0.22158    0.16677    0.14149    0.11831    0.09619    0.07639
     8    0.00672    0.01997    0.00416    0.15521    0.11008    0.07053    0.16109    0.11957    0.00113    0.16875    0.22703    0.14667    0.29134    0.16822    0.13304    0.34593    0.27369    0.20671    0.17612    0.14700    0.12068    0.09579
     9    0.00864    0.02534    0.00543    0.19083    0.13709    0.08919    0.20065    0.14978    0.00175    0.20986    0.28123    0.18455    0.35975    0.21095    0.16750    0.42395    0.33534    0.25498    0.21765    0.18311    0.14987    0.12018
    10    0.01095    0.03207    0.00711    0.23421    0.16931    0.11178    0.24657    0.18658    0.00260    0.26082    0.34625    0.23045    0.43911    0.26321    0.21007    0.51819    0.41070    0.31374    0.26875    0.22581    0.18675    0.14926
    11    0.01388    0.04004    0.00932    0.28562    0.20853    0.13923    0.30310    0.23011    0.00373    0.32069    0.42439    0.28553    0.53654    0.32442    0.26220    0.63083    0.50244    0.38371    0.32964    0.27901    0.23005    0.18598
    12    0.01736    0.05002    0.01211    0.34119    0.25476    0.17179    0.36997    0.28352    0.00523    0.39358    0.51651    0.35119    0.64790    0.39871    0.32316    0.75988    0.61316    0.47032    0.40358    0.34147    0.28436    0.22916
    13    0.02169    0.06162    0.01553    0.40462    0.30782    0.21163    0.44277    0.34602    0.00723    0.47995    0.62296    0.43057    0.77451    0.48645    0.39725    0.91311    0.73809    0.57435    0.49396    0.41837    0.34763    0.28323
    14    0.02672    0.07526    0.02000    0.47168    0.36712    0.25836    0.52678    0.41719    0.00980    0.57333    0.74181    0.52360    0.91981    0.59062    0.48464    1.09092    0.88863    0.69355    0.60362    0.51156    0.42608    0.34633
    15    0.03272    0.09142    0.02537    0.54019    0.43248    0.31169    0.61493    0.49738    0.01318    0.67990    0.87386    0.63068    1.07608    0.71161    0.58855    1.29644    1.06100    0.83727    0.72636    0.62339    0.52071    0.42445
    16    0.03976    0.10962    0.03211    0.61046    0.50073    0.37164    0.70580    0.58502    0.01763    0.79259    1.01477    0.75084    1.23985    0.84632    0.70934    1.53255    1.26331    0.99970    0.87543    0.75071    0.63366    0.51878
    17    0.04769    0.13012    0.04009    0.68868    0.56923    0.43731    0.79893    0.67556    0.02320    0.90768    1.15421    0.88351    1.40647    0.99801    0.84366    1.80499    1.49447    1.19523    1.04486    0.90281    0.76336    0.63150
    18    0.05720    0.15285    0.05008    0.77799    0.64237    0.50537    0.90125    0.76724    0.03053    1.02575    1.30318    1.02410    1.58743    1.16148    0.99516    2.10950    1.76062    1.41330    1.24541    1.07833    0.91702    0.76070
    19    0.06736    0.17686    0.06170    0.87506    0.72491    0.57410    1.01775    0.86576    0.03965    1.15717    1.47037    1.16415    1.79120    1.32477    1.15825    2.44528    2.06237    1.66672    1.47388    1.28250    1.09571    0.91402
    20    0.07910    0.20490    0.07534    0.98233    0.81861    0.64784    1.14605    0.97706    0.05133    1.30725    1.66099    1.31425    2.01950    1.49681    1.32175    2.78167    2.38954    1.96122    1.73637    1.51653    1.30173    1.09205
    21    0.09140    0.23558    0.09152    1.10275    0.91896    0.73111    1.28654    1.10275    0.06568    1.47033    1.86460    1.48293    2.26706    1.68862    1.49347    3.14740    2.72798    2.27442    2.03683    1.78633    1.53862    1.29768
    22    0.10493    0.26980    0.10974    1.23793    1.03161    0.82529    1.44425    1.23793    0.08378    1.65057    2.09318    1.67454    2.54497    1.90757    1.68484    3.55018    3.08932    2.61413    2.35935    2.08970    1.81207    1.53397
    23    0.11956    0.30783    0.13024    1.38968    1.15807    0.92646    1.62130    1.38968    0.10642    1.85291    2.34977    1.87982    2.85694    2.14271    1.90321    4.00822    3.48473    2.96528    2.69823    2.42185    2.11701    1.80665
    24    0.13531    0.34915    0.15297    1.56004    1.30003    1.04003    1.82004    1.56004    0.13450    2.08005    2.63782    2.11026    3.20717    2.40537    2.13811    4.50104    3.93304    3.34778    3.05769    2.75940    2.45417    2.11127
    25    0.15284    0.39676    0.17701    1.75128    1.45940    1.16752    2.04316    1.75128    0.16728    2.33504    2.96118    2.36894    3.60032    2.70024    2.40021    5.05281    4.42121    3.77621    3.44908    3.12304    2.79010    2.44737
    26    0.17223    0.45187    0.20508    1.96596    1.63830    1.31064    2.29362    1.96596    0.20783    2.62128    3.32418    2.65934    4.04167    3.03125    2.69444    5.67221    4.96318    4.25416    3.89211    3.52273    3.15661    2.78365
    27    0.19295    0.51179    0.23577    2.20696    1.83913    1.47130    2.57478    2.20696    0.25556    2.94261    3.73167    2.98534    4.53712    3.40284    3.02474    6.36754    5.57160    4.77565    4.37768    3.97668    3.56057    3.14956
    28    0.21488    0.58061    0.27001    2.47750    2.06458    1.65167    2.89041    2.47750    0.31357    3.30333    4.18912    3.35130    5.09330    3.81998    3.39553    7.14811    6.25459    5.36108    4.91432    4.46757    4.02015    3.55262
    29    0.23580    0.65221    0.30805    2.78120    2.31767    1.85414    3.24474    2.78120    0.38218    3.70827    4.70265    3.76212    5.71767    4.28825    3.81178    8.02436    7.02132    6.01827    5.51675    5.01523    4.51370    4.01102
    30    0.25331    0.73216    0.34940    3.12214    2.60178    2.08143    3.64250    3.12214    0.45649    4.16285    5.27913    4.22330    6.41857    4.81393    4.27905    9.00804    7.88203    6.75603    6.19302    5.63002    5.06702    4.50402
    31    0.26330    0.82191    0.39706    3.50487    2.92072    2.33658    4.08901    3.50487    0.54113    4.67316    5.92627    4.74102    7.20539    5.40405    4.80360   10.11229    8.84826    7.58422    6.95220    6.32018    5.68816    5.05615
