 Errors found while generating the file : SMSDISK4:[WIND.L2DATA.STICS
   Run time  15:01:44   24-SEP-99
  DOY:HR:MN:SEC                  COMMENTS
  245:17:34:57   Spin # = 52  Step Mode =  3   DVS = 15
  245:17:35:03   Spin # = 54  Step Mode =  3   DVS = 11
  245:17:35:10   Spin # = 56  Step Mode =  3   DVS =  7
  245:17:35:16   Spin # = 58  Step Mode =  3   DVS =  3
  245:17:41:49   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  53 spins                                           
  245:17:41:55   Spin # =  2  Step Mode =  3   DVS =  4
  245:17:42:02   Spin # =  4  Step Mode =  3   DVS =  8
  245:17:42:15   Spin # =  8  Step Mode =  3   DVS = 16
  245:17:42:21   Spin # = 10  Step Mode =  3   DVS = 20
  245:17:42:28   Spin # = 12  Step Mode =  3   DVS = 24
  245:17:42:34   Spin # = 14  Step Mode =  3   DVS = 30
  245:17:42:41   Spin # = 16  Step Mode =  3   DVS = 27
  245:17:42:47   Spin # = 18  Step Mode =  3   DVS = 23
  245:17:43:19   Spin # = 28  Step Mode =  3   DVS =  3
  245:17:43:26   Spin # = 30  Step Mode =  3   DVS =  0
  245:17:43:32   Spin # = 32  Step Mode =  3   DVS =  4
  245:17:43:39   Spin # = 34  Step Mode =  3   DVS =  8
  245:17:43:45   Spin # = 36  Step Mode =  3   DVS = 12
  245:17:43:52   Spin # = 38  Step Mode =  3   DVS = 16
  245:17:43:58   Spin # = 40  Step Mode =  3   DVS = 20
  245:17:44:05   Spin # = 42  Step Mode =  3   DVS = 24
  245:17:44:11   Spin # = 44  Step Mode =  3   DVS = 30
  245:17:44:18   Spin # = 46  Step Mode =  3   DVS = 27
  245:17:44:24   Spin # = 48  Step Mode =  3   DVS = 23
  245:17:44:30   Spin # = 50  Step Mode =  3   DVS = 19
  245:17:44:37   Spin # = 52  Step Mode =  3   DVS = 15
  245:17:44:43   Spin # = 54  Step Mode =  3   DVS = 11
  245:17:44:50   Spin # = 56  Step Mode =  3   DVS =  7
  245:17:44:56   Spin # = 58  Step Mode =  3   DVS =  3
  245:17:45:03   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  59 spins                                           
  245:17:51:29   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  59 spins                                           
  245:18:38:18   Spin # = 32  Step Mode =  3   DVS =  4
  245:18:38:24   Spin # = 34  Step Mode =  3   DVS =  8
  245:18:38:30   Spin # = 36  Step Mode =  3   DVS = 12
  245:18:38:37   Spin # = 38  Step Mode =  3   DVS = 16
  245:18:38:43   Spin # = 40  Step Mode =  3   DVS = 20
  245:18:38:50   Spin # = 42  Step Mode =  3   DVS = 24
  245:18:38:56   Spin # = 44  Step Mode =  3   DVS = 30
  245:18:39:03   Spin # = 46  Step Mode =  3   DVS = 27
  245:18:39:09   Spin # = 48  Step Mode =  3   DVS = 23
  245:18:39:16   Spin # = 50  Step Mode =  3   DVS = 19
  245:18:39:22   Spin # = 52  Step Mode =  3   DVS = 15
  245:18:39:28   Spin # = 54  Step Mode =  3   DVS = 11
  245:18:39:35   Spin # = 56  Step Mode =  3   DVS =  7
  245:18:39:41   Spin # = 58  Step Mode =  3   DVS =  3
  245:18:59:07   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  58 spins                                           
  245:19:02:21   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  58 spins                                           
  245:19:15:14   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  59 spins                                           
  245:19:18:27   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  59 spins                                           
  245:19:34:30   Bad HDB found
  245:21:40:10   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  47 spins                                           
  245:23:23:14   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  59 spins                                           
  245:23:29:40   Invalid speed encountered:         0.0 +/-        0.0 km/s
                 Incomplete Science Record:  59 spins                                           
 Total Bad HDBs =  1
 Total Invalid DVS =  94
 Total Bad Speeds =  27
 Total Bad Basic Rates =    1     Total Good Basic Rates =       1609
