     39.59     42.46
     42.46     45.54
     45.54     48.84
     48.84     52.38
     52.38     56.18
     56.18     60.25
     60.25     64.62
     64.62     69.31
     69.31     74.33
     74.33     79.72
     79.72     85.50
     85.50     91.70
     91.70     98.35
     98.35    105.49
    105.49    113.13
    113.13    121.34
    121.34    130.13
    130.13    139.57
    139.57    149.69
    149.69    160.54
    160.54    172.19
    172.19    184.67
    184.67    198.06
    198.06    212.42
    212.42    227.82
    227.82    244.34
    244.34    262.06
    262.06    281.06
    281.06    301.44
    301.44    323.30
    323.30    346.74
    346.74    371.88
    371.88    398.84
    398.84    427.76
    427.76    458.78
    458.78    492.05
    492.05    527.72
    527.72    565.99
    565.99    607.03
    607.03    651.04
    651.04    698.25
    698.25    748.88
    748.88    803.17
    803.17    861.41
    861.41    923.87
    923.87    990.86
    990.86   1062.70
   1062.70   1139.76
   1139.76   1222.40
   1222.40   1311.03
   1311.03   1406.10
   1406.10   1508.05
   1508.05   1617.39
   1617.39   1734.67
   1734.67   1860.45
   1860.45   1995.34
   1995.34   2140.02
   2140.02   2295.19
   2295.19   2461.61
   2461.61   2640.10
