1994 354 21:00   43.84  -41.29   -2.15
1994 354 21:12   43.82  -41.25   -2.15
1994 354 21:24   43.80  -41.20   -2.15
1994 354 21:36   43.78  -41.15   -2.15
1994 354 21:48   43.77  -41.10   -2.15
1994 354 22:00   43.75  -41.05   -2.15
1994 354 22:12   43.73  -41.00   -2.15
1994 354 22:24   43.71  -40.95   -2.15
1994 354 22:36   43.69  -40.90   -2.15
1994 354 22:48   43.67  -40.85   -2.15
1994 354 23:00   43.65  -40.80   -2.15
1994 354 23:12   43.63  -40.74   -2.15
1994 354 23:24   43.61  -40.69   -2.15
1994 354 23:36   43.59  -40.64   -2.15
1994 354 23:48   43.57  -40.59   -2.15
1994 355 00:00   43.55  -40.54   -2.15
1994 355 00:12   43.53  -40.49   -2.15
1994 355 00:24   43.51  -40.44   -2.15
1994 355 00:36   43.49  -40.38   -2.15
1994 355 00:48   43.46  -40.33   -2.15
1994 355 01:00   43.44  -40.28   -2.15
1994 355 01:12   43.42  -40.23   -2.15
1994 355 01:24   43.40  -40.17   -2.15
1994 355 01:36   43.38  -40.12   -2.15
1994 355 01:48   43.36  -40.07   -2.15
1994 355 02:00   43.34  -40.02   -2.15
1994 355 02:12   43.31  -39.96   -2.15
1994 355 02:24   43.29  -39.91   -2.15
1994 355 02:36   43.27  -39.86   -2.15
1994 355 02:48   43.25  -39.80   -2.15
1994 355 03:00   43.22  -39.75   -2.15
1994 355 03:12   43.20  -39.69   -2.15
1994 355 03:24   43.18  -39.64   -2.15
1994 355 03:36   43.15  -39.59   -2.15
1994 355 03:48   43.13  -39.53   -2.15
1994 355 04:00   43.11  -39.48   -2.15
1994 355 04:12   43.08  -39.42   -2.15
1994 355 04:24   43.06  -39.37   -2.15
1994 355 04:36   43.04  -39.31   -2.15
1994 355 04:48   43.01  -39.26   -2.15
1994 355 05:00   42.99  -39.20   -2.15
1994 355 05:12   42.96  -39.15   -2.15
1994 355 05:24   42.94  -39.09   -2.15
1994 355 05:36   42.91  -39.03   -2.15
1994 355 05:48   42.89  -38.98   -2.15
1994 355 06:00   42.86  -38.92   -2.15
1994 355 06:12   42.84  -38.86   -2.15
1994 355 06:24   42.81  -38.81   -2.15
1994 355 06:36   42.79  -38.75   -2.15
1994 355 06:48   42.76  -38.69   -2.15
1994 355 07:00   42.74  -38.64   -2.15
1994 355 07:12   42.71  -38.58   -2.15
1994 355 07:24   42.68  -38.52   -2.15
1994 355 07:36   42.66  -38.46   -2.15
1994 355 07:48   42.63  -38.41   -2.15
1994 355 08:00   42.61  -38.35   -2.15
1994 355 08:12   42.58  -38.29   -2.15
1994 355 08:24   42.55  -38.23   -2.15
1994 355 08:36   42.52  -38.17   -2.15
1994 355 08:48   42.50  -38.11   -2.15
1994 355 09:00   42.47  -38.05   -2.15
1994 355 09:12   42.44  -38.00   -2.15
1994 355 09:24   42.41  -37.94   -2.15
1994 355 09:36   42.39  -37.88   -2.15
1994 355 09:48   42.36  -37.82   -2.15
1994 355 10:00   42.33  -37.76   -2.15
1994 355 10:12   42.30  -37.70   -2.15
1994 355 10:24   42.27  -37.64   -2.15
1994 355 10:36   42.25  -37.58   -2.15
1994 355 10:48   42.22  -37.52   -2.15
1994 355 11:00   42.19  -37.46   -2.15
1994 355 11:12   42.16  -37.40   -2.15
1994 355 11:24   42.13  -37.33   -2.15
1994 355 11:36   42.10  -37.27   -2.15
1994 355 11:48   42.07  -37.21   -2.15
1994 355 12:00   42.04  -37.15   -2.15
1994 355 12:12   42.01  -37.09   -2.15
1994 355 12:24   41.98  -37.03   -2.15
1994 355 12:36   41.95  -36.96   -2.15
1994 355 12:48   41.92  -36.90   -2.15
1994 355 13:00   41.89  -36.84   -2.14
1994 355 13:12   41.86  -36.78   -2.14
1994 355 13:24   41.83  -36.71   -2.14
1994 355 13:36   41.80  -36.65   -2.14
1994 355 13:48   41.76  -36.59   -2.14
1994 355 14:00   41.73  -36.52   -2.14
1994 355 14:12   41.70  -36.46   -2.14
1994 355 14:24   41.67  -36.40   -2.14
1994 355 14:36   41.64  -36.33   -2.14
1994 355 14:48   41.60  -36.27   -2.14
1994 355 15:00   41.57  -36.21   -2.14
1994 355 15:12   41.54  -36.14   -2.14
1994 355 15:24   41.51  -36.08   -2.14
1994 355 15:36   41.47  -36.01   -2.14
1994 355 15:48   41.44  -35.95   -2.14
1994 355 16:00   41.41  -35.88   -2.14
1994 355 16:12   41.37  -35.82   -2.14
1994 355 16:24   41.34  -35.75   -2.14
1994 355 16:36   41.31  -35.68   -2.14
1994 355 16:48   41.27  -35.62   -2.14
1994 355 17:00   41.24  -35.55   -2.14
1994 355 17:12   41.20  -35.49   -2.13
1994 355 17:24   41.17  -35.42   -2.13
1994 355 17:36   41.14  -35.35   -2.13
1994 355 17:48   41.10  -35.29   -2.13
1994 355 18:00   41.07  -35.22   -2.13
1994 355 18:12   41.03  -35.15   -2.13
1994 355 18:24   40.99  -35.09   -2.13
1994 355 18:36   40.96  -35.02   -2.13
1994 355 18:48   40.92  -34.95   -2.13
1994 355 19:00   40.89  -34.88   -2.13
1994 355 19:12   40.85  -34.81   -2.13
1994 355 19:24   40.81  -34.75   -2.13
1994 355 19:36   40.78  -34.68   -2.13
1994 355 19:48   40.74  -34.61   -2.13
1994 355 20:00   40.70  -34.54   -2.12
1994 355 20:12   40.67  -34.47   -2.12
1994 355 20:24   40.63  -34.40   -2.12
1994 355 20:36   40.59  -34.33   -2.12
1994 355 20:48   40.55  -34.26   -2.12
1994 355 21:00   40.52  -34.19   -2.12
1994 355 21:12   40.48  -34.12   -2.12
1994 355 21:24   40.44  -34.05   -2.12
1994 355 21:36   40.40  -33.98   -2.12
1994 355 21:48   40.36  -33.91   -2.12
1994 355 22:00   40.32  -33.84   -2.12
1994 355 22:12   40.29  -33.77   -2.12
1994 355 22:24   40.25  -33.70   -2.12
1994 355 22:36   40.21  -33.63   -2.11
1994 355 22:48   40.17  -33.55   -2.11
1994 355 23:00   40.13  -33.48   -2.11
1994 355 23:12   40.09  -33.41   -2.11
1994 355 23:24   40.05  -33.34   -2.11
1994 355 23:36   40.01  -33.26   -2.11
1994 355 23:48   39.97  -33.19   -2.11
1994 356 00:00   39.93  -33.12   -2.11
1994 356 00:12   39.88  -33.05   -2.11
1994 356 00:24   39.84  -32.97   -2.11
1994 356 00:36   39.80  -32.90   -2.10
1994 356 00:48   39.76  -32.83   -2.10
1994 356 01:00   39.72  -32.75   -2.10
1994 356 01:12   39.68  -32.68   -2.10
1994 356 01:24   39.63  -32.60   -2.10
1994 356 01:36   39.59  -32.53   -2.10
1994 356 01:48   39.55  -32.45   -2.10
1994 356 02:00   39.51  -32.38   -2.10
1994 356 02:12   39.46  -32.30   -2.10
1994 356 02:24   39.42  -32.23   -2.09
1994 356 02:36   39.38  -32.15   -2.09
1994 356 02:48   39.33  -32.08   -2.09
1994 356 03:00   39.29  -32.00   -2.09
1994 356 03:12   39.24  -31.93   -2.09
1994 356 03:24   39.20  -31.85   -2.09
1994 356 03:36   39.16  -31.77   -2.09
