 STICS SELECTED RATES
 Run time  16:46:18    1-SEP-05
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19990701_V01.DAT;1
         FIFO mode is OFF    TGS mode is OFF      Telemetry mode is Science mode     
 Time shown is the START time for each interval
 
 YEAR DOY HR:MN:SC   SPEED     UNCER           H            He2            He1            BR0            BR1            BR2          FSR12          FSR34          FSR56             O1             O6             07     
 1999 182  2:18:56   474.6      33.6    0.8333334E-02  0.1121667E+02  0.5000000E-01  0.0000000E+00  0.0000000E+00  0.9166667E-01  0.2047500E+02  0.2609167E+02  0.1708333E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  2:25:04     0.0       0.0    0.2500000E-01  0.0000000E+00  0.1666667E-01  0.0000000E+00  0.0000000E+00  0.4166667E-01  0.2015833E+02  0.2626667E+02  0.1679167E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  2:31:13   453.1      33.3    0.2500000E-01  0.0000000E+00  0.8333334E-02  0.0000000E+00  0.0000000E+00  0.6666667E-01  0.2020000E+02  0.2522500E+02  0.1646667E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  2:37:22   435.7      29.2    0.8333334E-02  0.1666667E-01  0.3333334E-01  0.6615000E+02  0.4666667E+00  0.6666667E-01  0.2120000E+02  0.2564167E+02  0.1690833E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  2:43:31   457.4      30.4    0.1666667E-01  0.8333334E-02  0.8333334E-02  0.0000000E+00  0.8333334E-02  0.5833333E-01  0.2026667E+02  0.2550000E+02  0.1630000E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  2:49:39   480.2      34.5    0.1666667E-01  0.5500000E+00  0.1666667E-01  0.8333334E-02  0.8333334E-02  0.8333334E-01  0.2056667E+02  0.2528333E+02  0.1590833E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  2:55:48   465.0      42.9    0.2500000E-01  0.0000000E+00  0.2500000E-01  0.8333334E-02  0.8333334E-02  0.7500000E-01  0.2070000E+02  0.2544167E+02  0.1689167E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  3:01:57   463.4      35.0    0.1666667E-01  0.5000000E-01  0.0000000E+00  0.8333334E-02  0.0000000E+00  0.6666667E-01  0.2055000E+02  0.2460000E+02  0.1633333E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  3:08:05   469.5      38.1    0.1666667E-01  0.7500000E+00  0.1666667E-01  0.0000000E+00  0.0000000E+00  0.9166667E-01  0.2059167E+02  0.2505000E+02  0.1641667E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
 1999 182  3:14:14   471.9      38.5    0.8333334E-02  0.1666667E-01  0.5000000E-01  0.0000000E+00  0.0000000E+00  0.1000000E+00  0.2088333E+02  0.2475833E+02  0.1579167E+02  0.0000000E+00  0.0000000E+00  0.0000000E+00
