 STICS SECTORED MATRIX RATES (H+1)
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19941223_V01.DAT;2
         FIFO mode is OFF    TGS mode is ON       Telemetry mode is Science mode     
========================================================================================================================================================================
                                        TELESCOPE 1                                     TELESCOPE 2                                     TELESCOPE 3
 YEAR DOY HH:MM:SC     0+1   2+3   4+5   6+7   8+9  10+11 12+13 14+15  0+1   2+3   4+5   6+7   8+9  10+11 12+13 14+15  0+1   2+3   4+5   6+7   8+9  10+11 12+13 14+15
 1994 357 21:00:48     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1994 357 21:07:12     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.13  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1994 357 21:13:35     2.13  3.38  2.00  0.00  0.13  0.00  0.00  1.38  2.13  2.88  2.00  0.25  0.00  0.00  0.25  2.50  2.25  2.88  2.38  0.88  0.38  1.00  1.50  2.13
 1994 357 21:19:59     3.50  7.00  7.75  2.75  0.88  1.38  3.88  4.00  5.63  5.00  8.00  3.88  0.25  0.63  3.13  4.00  4.25  4.38  6.38  3.88  1.25  1.25  4.13  4.13
 1994 357 21:26:23     3.42  5.75  6.08  3.54  1.92  1.62  2.58  5.46  7.88  7.50  5.50  3.46  2.21  0.33  3.04  5.00  6.33  4.42  6.67  4.17  2.38  2.42  3.71  3.83
 1994 357 21:32:47     6.63  9.50  8.50  7.13  4.25  4.13  7.13  8.00  5.25  8.63  8.63  6.38  4.00  1.13  5.38  6.63  3.13  5.00  8.38  6.00  5.25  4.75  7.75  4.75
 1994 357 21:39:11     7.38  8.88  9.75  8.38  4.25  6.25  8.63  8.13  9.13  8.00 10.88  8.00  3.63  3.00  9.13  7.25  5.50  5.50  6.38  7.50  5.38  5.50  9.13  8.38
 1994 357 21:45:35     9.88  9.75 14.75 12.25  9.25  9.38 10.38  8.88  7.75  8.75  9.00  9.25  4.13  7.50  6.13  7.75  4.75  7.50  6.50  9.13  4.38  5.25  5.75  7.88
 1994 357 21:51:58     8.50 10.75 13.75 11.75 10.00  9.00 12.75 10.75  6.88  7.50 11.13  8.50  5.25  7.38 11.88  8.50  4.50  6.75  7.25  6.25  6.25  6.63  8.25  6.50
 1994 357 21:58:22     9.50 13.00 11.63 17.88 15.00 17.38 12.25  9.88  7.13 10.63 12.75 12.63  8.50  6.88 11.00  9.25  4.50  7.38  8.25  7.63  5.88  7.25  9.63  8.25
 1994 357 22:04:46    12.00 13.75 15.63 18.63 16.50 16.88 15.88 15.13 11.00 10.50 11.63 10.88  9.38  9.25 10.25 10.88  5.75  7.25  9.00  8.38  6.25  9.00  8.25  8.25
 1994 357 22:11:10     9.63 13.38 13.38 16.25 14.63 11.75 15.00 14.50  7.63  9.38 11.50 11.13  5.50  5.88  9.63 10.38  4.88  8.25  6.63  8.00  7.38  6.00  7.63  6.38
 1994 357 22:17:34    10.50 14.50 12.50 11.38  8.88 13.63 14.00 17.63  7.88  8.75 10.38 11.25  7.75  9.25 11.88  8.88  6.50  7.38  6.88  6.75  7.75  6.13  5.63  7.50
 1994 357 22:23:58     7.88 14.75 15.00 15.50 10.63 11.75 13.13 12.00  6.38  8.38  9.50  9.25  5.75  5.38  8.00  8.13  5.13  7.75  5.75  6.75  4.63  4.88  4.50  4.50
 1994 357 22:30:21     6.25  9.88 10.63  7.13  3.63  3.50  5.75  7.63  2.75  4.38  4.63  3.13  0.13  0.38  1.88  3.50  1.38  2.38  1.75  1.00  0.13  0.13  0.50  1.13
 1994 357 22:36:45     1.00  1.38  1.63  2.88  0.88  0.25  0.13  0.75  0.38  1.13  2.38  2.00  0.38  0.00  0.00  0.50  0.88  0.63  1.00  0.63  0.00  0.00  0.00  0.13
 1994 357 22:43:09     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.38  0.13  0.13  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1994 357 22:49:33     0.00  0.63  0.25  0.00  0.00  0.00  0.00  0.00  0.13  0.63  1.13  0.00  0.00  0.00  0.00  0.00  0.00  0.38  0.25  0.00  0.00  0.00  0.00  0.00
 1994 357 22:55:57     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.13  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
 1994 357 23:00:00     0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.17  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.25  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
